"","metabolite_name","T_L4_D5_03","T_L4_F7_03","T_L4_M8_03","T_L4_D5_06","T_L4_F7_06","T_L4_M8_06","T_L4_D5_09","T_L4_F7_09","T_L4_M8_09","T_L4_D5_12","T_L4_F7_12","T_L4_M8_12","T_L4_D5_18","T_L4_F7_18","T_L4_M8_18","T_L4_D5_21","T_L4_F7_21","T_L4_M8_21","T_L4_D5_24","T_L4_F7_24","T_L4_M8_24","T_L4_D5_27","T_L4_F7_27","T_L4_M8_27","T_L4_D5_30","T_L4_F7_30","T_L4_M8_30","T_L4_D5_33","T_L4_F7_33","T_L4_M8_33","U_L1_D5_03","U_L1_F7_03","U_L1_M8_03","U_L2_D5_03","U_L2_F7_03","U_L2_M8_03","U_L3_D5_03","U_L3_F7_03","U_L3_M8_03","U_L3_D5_06","U_L3_F7_06","U_L3_M8_06","U_L5_D5_03","U_L5_F7_03","U_L5_M8_03"
"HMDB0000806","Myristic acid",3.163,3.609,3.392,1.433,3.116,3.467,4.315,4.154,4.318,1.722,3.924,3.606,3.168,3.411,2.606,2.818,3.516,3.516,4.207,4.152,0,2.854,2.88,2.856,2.854,2.88,2.856,3.178,3.316,3.08,0,0,0,19.206,19.971,19.778,0,0,0,0,0,0,23.197,23.128,23.198
"HMDB0000215","N-Acetyl-D-glucosamine",3.39,4.738,4.296,3.202,4.689,4.538,3.615,4.793,4.75,3.43,4.666,4.109,3.865,4.915,4.869,3.866,4.545,4.53,3.807,5.135,4.804,3.529,5.46,4.603,3.529,5.46,4.603,3.746,4.736,4.636,0,0,0,16.397,16.468,16.293,0,0,0,0,0,0,0,0,0
"HMDB0000812","N-Acetyl-L-aspartic acid",4.97,3.68,4.289,4.943,3.703,4.183,5.146,3.515,4.065,5.009,3.372,3.909,5.178,3.944,4.42,5.089,3.466,3.922,5.187,3.818,4.279,5.132,3.624,4.226,5.132,3.624,4.226,5.105,3.794,4.188,13.944,12.386,13.027,16.636,15.823,16.671,20.719,18.909,19.535,20.707,18.978,19.438,16.701,17.222,17.05
"HMDB0000230","N-Acetylneuraminic acid",3.342,5.274,3.909,3.43,5.477,4.119,3.475,5.345,3.917,3.326,4.615,3.502,3.35,4.894,3.843,3.313,4.846,3.596,3.376,4.941,3.677,3.332,5.614,3.896,3.332,5.614,3.896,3.3,5.184,3.855,9.171,12.312,10.05,11.598,12.862,12.582,19.261,21.295,19.952,19.297,21.219,19.895,0,0,0
"HMDB0002931","N-Acetylserine",5.275,5.552,6.288,5.632,5.731,6.373,5.408,5.734,6.056,5.329,5.418,5.944,5.323,5.615,6.167,5.336,5.487,6.051,5.369,5.645,6.11,5.141,5.511,6.063,5.141,5.511,6.063,5.354,5.742,6.277,0,0,0,0,0,0,21.123,21.326,21.881,21.186,21.35,21.853,0,0,0
"HMDB0000207","Oleic acid",5.977,6.92,5.562,6.074,6.953,6.184,6.29,7.202,5.928,5.506,6.339,5.366,5.735,6.643,4.966,5.703,6.521,5.618,5.577,6.484,5.36,5.489,6.48,5.334,5.489,6.48,5.334,5.715,6.533,5.383,15.146,14.562,15.323,20.865,22.252,21.201,0,0,0,0,0,0,0,0,0
"HMDB0000824","Propionyl-L-carnitine",2.774,2.595,3.152,2.646,2.43,2.77,2.757,2.658,3.032,2.858,2.539,3.082,2.856,2.558,3.057,2.862,2.595,3.108,2.897,2.687,3.118,2.969,2.333,2.958,2.969,2.333,2.958,2.815,2.614,3.226,0,0,0,0,0,0,21.624,21.339,21.852,21.588,21.136,21.842,21.199,20.87,21.247
"HMDB0000243","Pyruvate",5.718,6.271,5.527,5.269,5.579,5.46,4.929,6.087,5.357,5.3,5.786,5.693,5.425,5.865,5.733,5.434,5.755,5.613,5.204,6.051,5.485,5.228,5.722,5.614,5.228,5.722,5.614,5.368,5.854,5.679,0,0,0,0,0,0,16.504,15.195,16.244,16.379,14.772,16.324,0,0,0
"HMDB0000939","S-Adenosylhomocysteine",3.662,3.424,3.639,2.903,3.005,3.662,2.402,2.619,2.769,3.552,3.937,3.875,3.647,3.743,4.07,3.414,3.63,4.17,3.564,3.618,4.128,3.679,4.456,4.996,3.679,4.456,4.996,3.577,3.575,3.916,11.837,12.799,13.048,0,0,0,15.154,15.922,16.209,15.048,15.829,16.159,0,0,0
"HMDB0000254","Succinate",6.226,6.581,6.597,6.622,6.944,6.91,6.666,6.965,6.767,6.256,6.314,6.261,6.189,6.363,6.391,6.148,6.477,6.423,6.185,6.503,6.51,6.142,6.395,6.392,6.142,6.395,6.392,6.166,6.329,6.396,0,0,0,14.528,14.521,14.913,0,0,0,0,0,0,16.005,15.71,15.696
